"Gene_name","Gene_id","Transcript_id"
"MAN2B2","ENSG00000013288.8","ENST00000285599.7"
"SLC7A14","ENSG00000013293.5","ENST00000231706.5"
"CLDN11","ENSG00000013297.10","ENST00000064724.7"
"SLC25A39","ENSG00000013306.15","ENST00000225308.12"
"MVP","ENSG00000013364.18","ENST00000357402.9"
"NUB1","ENSG00000013374.15","ENST00000413040.6"
"PGM3","ENSG00000013375.15","ENST00000513973.5"
"RWDD2A","ENSG00000013392.7","ENST00000369724.4"
"CLK1","ENSG00000013441.15","ENST00000321356.8"
"POLR3B","ENSG00000013503.9","ENST00000228347.8"
"ANGEL1","ENSG00000013523.9","ENST00000251089.6"
"RNF14","ENSG00000013561.17","ENST00000394514.6"
"DNASE1L1","ENSG00000013563.13","ENST00000369807.5"
"DDX11","ENSG00000013573.16","ENST00000228264.10"
"HEBP1","ENSG00000013583.8","ENST00000014930.8"
"GPRC5A","ENSG00000013588.7","ENST00000014914.5"
"CD6","ENSG00000013725.14","ENST00000313421.11"
"TACC3","ENSG00000013810.18","ENST00000313288.8"
"UFL1","ENSG00000014123.9","ENST00000369278.4"
"ZC3H3","ENSG00000014164.6","ENST00000262577.5"
"CAPN1","ENSG00000014216.15","ENST00000279247.10"
"ACPP","ENSG00000014257.15","ENST00000336375.9"
"MDH1","ENSG00000014641.17","ENST00000233114.12"
"SLC30A9","ENSG00000014824.13","ENST00000264451.11"
"COX15","ENSG00000014919.12","ENST00000370483.9"
"YAF2","ENSG00000015153.14","ENST00000534854.6"
"ZMYND11","ENSG00000015171.19","ENST00000381607.8"
"WAS","ENSG00000015285.10","ENST00000376701.4"
"DPEP1","ENSG00000015413.9","ENST00000261615.5"
"BID","ENSG00000015475.18","ENST00000622694.4"
"NPC1L1","ENSG00000015520.14","ENST00000546276.5"
"XYLT2","ENSG00000015532.9","ENST00000017003.6"
"RGPD5","ENSG00000015568.12","ENST00000016946.7"
"STMN4","ENSG00000015592.16","ENST00000265770.11"
"ISL1","ENSG00000016082.14","ENST00000230658.11"
"CHDH","ENSG00000016391.10","ENST00000315251.10"
"IL20RA","ENSG00000016402.13","ENST00000316649.9"
"CLCA1","ENSG00000016490.15","ENST00000394711.1"
"CLCA4","ENSG00000016602.9","ENST00000370563.3"
"GLT8D1","ENSG00000016864.18","ENST00000491606.5"
"IGF1","ENSG00000017427.15","ENST00000307046.8"
"RALBP1","ENSG00000017797.12","ENST00000383432.7"
"RUFY3","ENSG00000018189.12","ENST00000226328.8"
"CNTN1","ENSG00000018236.14","ENST00000551295.6"
"SLC11A1","ENSG00000018280.16","ENST00000233202.10"
"WWTR1","ENSG00000018408.14","ENST00000465804.5"
"AGPS","ENSG00000018510.13","ENST00000264167.8"
"CXorf56","ENSG00000018610.13","ENST00000320339.8"
"ATP1A2","ENSG00000018625.14","ENST00000361216.7"
"TTC27","ENSG00000018699.11","ENST00000317907.8"
"ZNF582","ENSG00000018869.16","ENST00000589143.5"
"VSIG2","ENSG00000019102.11","ENST00000326621.9"
"MARCO","ENSG00000019169.10","ENST00000327097.4"
"CYP24A1","ENSG00000019186.9","ENST00000216862.7"
"PRDM11","ENSG00000019485.13","ENST00000534751.2"
"SYT13","ENSG00000019505.7","ENST00000020926.7"
"SNAI2","ENSG00000019549.9","ENST00000020945.3"
"CD74","ENSG00000019582.14","ENST00000353334.10"
"HGF","ENSG00000019991.15","ENST00000222390.9"
"ZRANB1","ENSG00000019995.6","ENST00000359653.4"
"NCDN","ENSG00000020129.15","ENST00000356090.8"
"ADGRA2","ENSG00000020181.17","ENST00000412232.2"
"ZFP64","ENSG00000020256.19","ENST00000371515.8"
"MNAT1","ENSG00000020426.10","ENST00000539616.6"
"SAMD4A","ENSG00000020577.13","ENST00000251091.9"
"RUNX3","ENSG00000020633.18","ENST00000308873.10"
"MRE11","ENSG00000020922.12","ENST00000323929.7"
"PLEKHB1","ENSG00000021300.13","ENST00000227214.10"
"SERPINB1","ENSG00000021355.12","ENST00000380739.5"
"CYP3A43","ENSG00000021461.16","ENST00000342499.8"
"SLC7A9","ENSG00000021488.12","ENST00000023064.8"
"SPAST","ENSG00000021574.11","ENST00000315285.7"
"NRXN3","ENSG00000021645.18","ENST00000428277.6"
"OSBPL5","ENSG00000021762.19","ENST00000263650.11"
"CPS1","ENSG00000021826.14","ENST00000451903.2"
"C8B","ENSG00000021852.12","ENST00000371237.8"
"FHL1","ENSG00000022267.16","ENST00000539015.5"
"RTFDC1","ENSG00000022277.12","ENST00000023939.8"
"SLC45A4","ENSG00000022567.9","ENST00000519067.5"
"RNF10","ENSG00000022840.15","ENST00000413266.6"
"ZNF839","ENSG00000022976.15","ENST00000559185.5"
"ZDHHC6","ENSG00000023041.11","ENST00000369405.7"
"GRAMD1B","ENSG00000023171.16","ENST00000529750.5"
"RNH1","ENSG00000023191.16","ENST00000397604.7"
"NDUFS1","ENSG00000023228.13","ENST00000449699.5"
"RB1CC1","ENSG00000023287.12","ENST00000435644.6"
"ERP44","ENSG00000023318.7","ENST00000262455.6"
"ALAS1","ENSG00000023330.14","ENST00000310271.6"
"BIRC3","ENSG00000023445.13","ENST00000263464.7"
"AKAP11","ENSG00000023516.8","ENST00000025301.3"
"GLRX2","ENSG00000023572.8","ENST00000367439.7"
"SNAPC1","ENSG00000023608.4","ENST00000216294.4"
"DERA","ENSG00000023697.12","ENST00000428559.6"
"STRAP","ENSG00000023734.10","ENST00000419869.6"
"ABCC2","ENSG00000023839.10","ENST00000370449.8"
"DEF6","ENSG00000023892.10","ENST00000316637.6"
"PLEKHO1","ENSG00000023902.13","ENST00000369124.4"
"GCLM","ENSG00000023909.9","ENST00000370238.7"
"UBR2","ENSG00000024048.10","ENST00000372901.1"
"EHD2","ENSG00000024422.11","ENST00000263277.7"
"DEPDC1","ENSG00000024526.16","ENST00000456315.6"
"CCDC28A","ENSG00000024862.17","ENST00000617445.4"
"RRAGD","ENSG00000025039.14","ENST00000369415.8"
"HSF2","ENSG00000025156.12","ENST00000452194.5"
"PHF20","ENSG00000025293.16","ENST00000374012.7"
"HSD17B6","ENSG00000025423.11","ENST00000322165.1"
"TYMP","ENSG00000025708.13","ENST00000252029.7"
"NCAPH2","ENSG00000025770.18","ENST00000420993.6"
"TOMM34","ENSG00000025772.7","ENST00000372813.3"
"SEC63","ENSG00000025796.13","ENST00000369002.8"
"KPNA6","ENSG00000025800.13","ENST00000373625.7"
"VIM","ENSG00000026025.15","ENST00000224237.9"
"FAS","ENSG00000026103.21","ENST00000355740.6"
"RNASET2","ENSG00000026297.15","ENST00000508775.5"
"CD44","ENSG00000026508.17","ENST00000263398.10"
"KCNG1","ENSG00000026559.13","ENST00000371571.4"
"AGPAT4","ENSG00000026652.13","ENST00000320285.8"
"SLAMF7","ENSG00000026751.16","ENST00000368043.7"
"BTN3A1","ENSG00000026950.16","ENST00000289361.10"
"MIPEP","ENSG00000027001.9","ENST00000382172.3"
"PRKCH","ENSG00000027075.14","ENST00000555082.5"
"INSRR","ENSG00000027644.4","ENST00000368195.3"
"IFNGR1","ENSG00000027697.13","ENST00000367739.8"
"B4GALT7","ENSG00000027847.13","ENST00000029410.9"
"SH2D2A","ENSG00000027869.11","ENST00000368199.7"
"VRK2","ENSG00000028116.16","ENST00000340157.8"
"TNFRSF1B","ENSG00000028137.18","ENST00000376259.6"
"POU2F2","ENSG00000028277.21","ENST00000389341.9"
"SNX1","ENSG00000028528.14","ENST00000559844.5"
"ARNTL2","ENSG00000029153.14","ENST00000544915.5"
"BCLAF1","ENSG00000029363.16","ENST00000531224.5"
"SLC39A9","ENSG00000029364.11","ENST00000031146.8"
"ANK1","ENSG00000029534.19","ENST00000314214.12"
"IBSP","ENSG00000029559.6","ENST00000226284.6"
"TFB1M","ENSG00000029639.10","ENST00000367166.4"
"RABEP1","ENSG00000029725.16","ENST00000537505.5"
"HMGB3","ENSG00000029993.14","ENST00000419110.5"
"NUP160","ENSG00000030066.13","ENST00000378460.6"
"BAK1","ENSG00000030110.12","ENST00000374467.3"
"MUSK","ENSG00000030304.13","ENST00000416899.7"
"IKZF2","ENSG00000030419.16","ENST00000451136.6"
"GRN","ENSG00000030582.17","ENST00000053867.7"
"FAM13B","ENSG00000031003.10","ENST00000033079.7"
"ARHGAP31","ENSG00000031081.10","ENST00000264245.8"
"CENPQ","ENSG00000031691.6","ENST00000335783.3"
"SARS","ENSG00000031698.12","ENST00000234677.6"
"RANBP3","ENSG00000031823.14","ENST00000439268.6"
"ARID4A","ENSG00000032219.18","ENST00000355431.7"
"TSSC1","ENSG00000032389.12","ENST00000382125.8"
"IFT88","ENSG00000032742.17","ENST00000351808.9"
"ALG1","ENSG00000033011.11","ENST00000262374.9"
"ABCF2","ENSG00000033050.7","ENST00000287844.6"
"CHPF2","ENSG00000033100.16","ENST00000035307.6"
"UBA6","ENSG00000033178.12","ENST00000322244.9"
"GAB2","ENSG00000033327.12","ENST00000361507.4"
"PIAS1","ENSG00000033800.13","ENST00000249636.10"
"SLC4A7","ENSG00000033867.16","ENST00000419036.5"
"APBA2","ENSG00000034053.14","ENST00000558259.5"
"MAP2K3","ENSG00000034152.18","ENST00000342679.8"
"EFCAB1","ENSG00000034239.10","ENST00000262103.7"
"TMSB10","ENSG00000034510.5","ENST00000233143.5"
"ASTE1","ENSG00000034533.11","ENST00000264992.7"
"RNF19A","ENSG00000034677.12","ENST00000519449.5"
"PEX3","ENSG00000034693.14","ENST00000367591.4"
"GABARAPL2","ENSG00000034713.7","ENST00000037243.6"
"MYOC","ENSG00000034971.16","ENST00000037502.10"
"SH3YL1","ENSG00000035115.21","ENST00000403712.6"
"FAM136A","ENSG00000035141.7","ENST00000037869.7"
"VCL","ENSG00000035403.17","ENST00000211998.9"
"DEPDC1B","ENSG00000035499.12","ENST00000265036.9"
"DAPK2","ENSG00000035664.11","ENST00000261891.7"
"NSMAF","ENSG00000035681.7","ENST00000038176.7"
"ADSS","ENSG00000035687.9","ENST00000366535.3"
"STAP1","ENSG00000035720.7","ENST00000265404.6"
"TIMP2","ENSG00000035862.12","ENST00000585421.5"
"RFC1","ENSG00000035928.15","ENST00000349703.6"
"CUL3","ENSG00000036257.12","ENST00000409096.5"
"OTC","ENSG00000036473.6","ENST00000039007.4"
"CYP46A1","ENSG00000036530.8","ENST00000261835.7"
"ZZZ3","ENSG00000036549.12","ENST00000370801.7"
"SLC18A1","ENSG00000036565.14","ENST00000276373.9"
"USP2","ENSG00000036672.15","ENST00000455332.6"
"CASR","ENSG00000036828.15","ENST00000638421.1"
"TUBG2","ENSG00000037042.8","ENST00000251412.7"
"RPL26L1","ENSG00000037241.7","ENST00000265100.6"
"FLT4","ENSG00000037280.15","ENST00000261937.10"
"FBXO42","ENSG00000037637.10","ENST00000375592.7"
"MFAP3","ENSG00000037749.11","ENST00000322602.9"
"MRI1","ENSG00000037757.13","ENST00000319545.12"
"METTL1","ENSG00000037897.16","ENST00000257848.7"
"HOXC8","ENSG00000037965.5","ENST00000040584.5"
"AGA","ENSG00000038002.8","ENST00000264595.6"
"PI4K2B","ENSG00000038210.12","ENST00000264864.7"
